IPAddress,Duration (in seconds),Finished,RecordedDate,ResponseId,consent,ID,browser_info_Resolution,timer_pitch_deck_First Click,timer_pitch_deck_Last Click,timer_pitch_deck_Page Submit,timer_pitch_deck_Click Count,invest_prob_1,fluency_1,quality,cvpa_v_1,cvpa_v_2,cvpa_v_3,cvpa_v_4,cvpa_a_1,cvpa_a_2,cvpa_a_3,cvpa_a_4,cvpa_r_1,cvpa_r_2,cvpa_r_3,age,gender,invest_experience,attention_check,attention_check_99_TEXT,comprehension_check,PROLIFIC_PID,fluency_condition,quality_condition,device
154,206,TRUE,2022-12-21T16:05:56Z,R_3HzvoWnnGT3bxjx,yes,154,1920x1080,4.581,6.204,93.706,3,63,65,5,Strongly disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,33,Male,1,Other,I have read this text carefully,Medical innovation,154,high,high,NA
155,261,TRUE,2022-12-21T16:07:15Z,R_1fjV3JCIitqIZMV,yes,155,820x1180,10.863,12.646,185.985,3,53,41,4,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,34,Male,0,Never,NA,Medical innovation,155,low,low,NA
156,171,TRUE,2022-12-21T16:07:18Z,R_vw6vZMRasuPuLy9,yes,156,1366x768,0,0,116.374,0,92,94,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,35,Male,3,Other,I have read this text carefully,Medical innovation,156,low,low,NA
157,141,FALSE,2022-12-21T16:08:08Z,R_RhltIl8Kiw08axr,yes,157,390x844,5.571,7.987,60.6,3,10,15,5,Agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,NA,NA,NA,NA,NA,NA,157,low,high,mobile
158,236,TRUE,2022-12-21T16:08:38Z,R_2PbctTcMsdrPUag,yes,158,360x780,5.605,11.275,111.536,3,67,29,5,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,29,Female,1,Other,I have read this text carefully,Medical innovation,158,high,high,mobile
159,330,TRUE,2022-12-21T16:09:19Z,R_QaiJCeW8KoozkSR,yes,159,1366x768,18.042,179.496,180.999,3,3,12,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,41,Male,3,Other,I have read this text carefully,Medical innovation,159,low,low,NA
160,30,FALSE,2022-12-21T16:09:23Z,R_3M0uydma2z0HTLN,yes,160,360x800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,high,low,mobile
161,176,TRUE,2022-12-21T16:09:27Z,R_3maDyJgyoenAy3H,yes,161,1366x768,6.007,6.007,13.782,1,51,98,5,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,34,Male,5,Other,I have read this text carefully,Medical innovation,161,low,high,NA
162,451,TRUE,2022-12-21T16:09:30Z,R_1GCGLSFlnqYc2kN,yes,162,390x844,2.449,6.003,275.303,3,10,39,3,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,57,Male,5,Other,I have read this text carefully,Medical innovation,162,high,low,mobile
163,269,TRUE,2022-12-21T16:11:28Z,R_UY2CrVV6ikE9Pz3,yes,163,768x1024,12.479,102.585,102.628,3,52,64,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,49,Male,7,Other,I have read this text carefully,Medical innovation,163,high,low,NA
164,428,TRUE,2022-12-21T16:11:54Z,R_3kNbUzA31SLWqME,yes,164,1366x768,8.185,19.912,250.84,2,2,86,4,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,68,Female,0,Other,I have read this text carefully.,Medical innovation,164,high,high,NA
165,552,TRUE,2022-12-21T16:13:06Z,R_2f42eqduwiLuh89,yes,165,375x812,4.222,4.222,381.296,1,73,28,6,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,32,Female,8,Other,I have read this text carefully,Medical innovation,165,low,high,mobile
166,319,TRUE,2022-12-21T16:13:54Z,R_3IXjmruy6oKLJni,yes,166,1920x1080,16.695,16.695,20.206,1,75,36,5,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,40,Male,10,Other,I have read this text carefully,Medical innovation,166,low,high,NA
167,1198,TRUE,2022-12-21T16:14:40Z,R_3Ok3XAniYfMRcrm,yes,167,1366x768,20.599,22.135,316.389,2,80,71,5,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,44,Male,10,Other,I have read this text carefully,Medical innovation,167,low,low,NA
168,356,TRUE,2022-12-21T16:15:06Z,R_1rPyyrnmlE85izv,yes,168,1920x1080,7.007,212.342,213.083,3,10,0,3,Disagree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Disagree,39,Male,0,Other,I have read this text carefully,Medical innovation,168,high,low,NA
169,1397,TRUE,2022-12-21T16:16:41Z,R_1OWiYo6m5eEtQNL,yes,169,1920x1080,18.594,18.594,291.536,1,85,84,6,Neither agree nor disagree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,36,Male,0,Other,I have read this text carefully,Medical innovation,169,high,high,NA
170,12,FALSE,2022-12-21T16:16:44Z,R_24wxGZkwgiKFXYN,yes,68,360x640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,low,high,mobile
171,427,TRUE,2022-12-21T16:16:54Z,R_1ds4PlhNdNp1t4D,yes,170,375x812,6.821,11.725,205.706,3,60,41,5,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,27,Male,3,Other,I have read this text carefully,Medical innovation,170,high,high,mobile
172,173,TRUE,2022-12-21T16:17:30Z,R_ALMTgyKQzHh8rwB,yes,171,1600x900,2.582,2.582,63.778,1,38,83,4,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,35,Male,4,Other,I have read this text carefully,Medical innovation,171,low,low,NA
173,216,TRUE,2022-12-21T16:17:41Z,R_1IRHqYETKR51Yo9,yes,172,2560x1440,4.384,4.384,54.909,1,55,83,6,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,44,Male,1,Other,I have read this text carefully,Medical innovation,172,low,low,NA
174,285,TRUE,2022-12-21T16:17:49Z,R_WcJ9J2rNWr5x721,yes,173,360x800,0.272,14.645,137.344,5,100,82,5,Disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Disagree,29,Male,2,Other,I have read this text carefully,Medical innovation,173,high,high,mobile
175,702,TRUE,2022-12-21T16:18:07Z,R_25GG0lYpw2z6dTv,yes,174,1440x900,11.866,11.866,314.219,1,90,74,5,Agree,Agree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,30,Female,1,Other,I have read this text carefully,Medical innovation,174,high,high,NA
176,347,TRUE,2022-12-21T16:18:22Z,R_2g8HHpwKQCyClNv,yes,175,1536x864,3.443,3.443,257.495,1,25,35,4,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,44,Male,7,Other,I have read this text carefully,Medical innovation,175,low,low,NA
177,144,TRUE,2022-12-21T16:18:50Z,R_e4CpGTopqgJji8h,yes,176,1536x864,3.585,3.585,29.976,1,87,82,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,60,Male,5,Other,I have read this text carefully,Medical innovation,176,high,low,NA
178,433,TRUE,2022-12-21T16:19:29Z,R_ZDjqTF4zvqTwhbz,yes,177,1440x900,1.823,324.29,325.047,8,60,100,5,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,22,Female,1,2-3 times a week,NA,Medical innovation,177,high,high,NA
179,110,TRUE,2022-12-21T16:19:33Z,R_1jdH4a5wFCYdOB4,yes,178,412x915,0,0,1.152,0,80,69,5,Agree,Agree,Agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Strongly agree,51,Female,3,Other,I have read this text carefully,Sports analytics,178,low,high,mobile
180,577,TRUE,2022-12-21T16:19:46Z,R_1mO6ZG9eMMgdYrt,yes,179,384x854,24.017,41.554,42.627,3,50,60,4,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neither agree nor disagree,31,Female,5,Other,If I see an article that interest me so every now and then. Four times a year,Medical innovation,179,high,low,mobile
181,205,TRUE,2022-12-21T16:20:07Z,R_2aDfPgRT9kt95iF,yes,180,1200x750,8.378,8.378,67.325,1,62,19,5,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,35,Female,2,Other,I have read this text carefully,Medical innovation,180,high,high,NA
182,266,TRUE,2022-12-21T16:20:42Z,R_tEUEjpuEl3bIUPn,yes,181,360x800,3.172,8.506,129.277,2,24,13,4,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,43,Male,0,Other,I have read this text carefully,Medical innovation,181,high,high,mobile
183,380,TRUE,2022-12-21T16:21:35Z,R_1BRG9V2vbYBvk8x,yes,182,1536x864,15.225,15.225,246.018,1,29,73,5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,49,Female,7,Other,I have read this text carefully,Medical innovation,182,high,high,NA
184,207,TRUE,2022-12-21T16:21:37Z,R_20P6tBnmJ5Oqmjj,yes,183,3440x1440,1.634,1.634,3.633,1,78,30,6,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,37,Male,5,Other,'I have read this text carefully,Medical innovation,183,low,low,NA
185,145,TRUE,2022-12-21T16:21:50Z,R_2wFw7C8SlB4id99,yes,184,1536x864,0,0,1.949,0,40,59,4,Disagree,Disagree,Agree,Agree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,29,Female,2,Other,I have read this text carefully,Medical innovation,184,high,low,NA
186,365,TRUE,2022-12-21T16:22:12Z,R_AigZhbC0ZC3sXnP,yes,185,412x892,41.861,238.009,239.831,3,69,24,5,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,35,Male,3,Other,I have read this text carefully,Medical innovation,185,high,low,mobile
187,357,TRUE,2022-12-21T16:22:21Z,R_2PvyaHisfhllste,yes,186,1536x864,14.343,14.343,233.499,1,80,83,6,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,34,Male,5,Other,I have read this text carefully,Medical innovation,186,high,low,NA
188,301,TRUE,2022-12-21T16:22:42Z,R_cOBm67ZiVKhfGIp,yes,187,810x1080,4.919,218.549,220.623,2,20,83,5,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,28,Male,3,Every day,NA,Medical innovation,187,low,low,NA
189,266,TRUE,2022-12-21T16:22:46Z,R_x3md5VOWwtc2MrD,yes,188,1280x720,5.715,149.491,150.42,2,34,23,5,Strongly disagree,Agree,Disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,41,Male,23,Other,I have read this text carefully,Medical innovation,188,low,high,NA
190,300,TRUE,2022-12-21T16:23:14Z,R_1Gw5oDQ6dO9wKiE,yes,189,1920x1080,2.604,2.604,204.066,1,70,76,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,42,Male,5,Other,I have read this text carefully,Medical innovation,189,high,low,NA
191,132,TRUE,2022-12-21T16:24:05Z,R_3iOmBNZmEvRfUk3,yes,190,1707x960,3.882,3.882,61.074,1,9,14,3,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree,24,Male,1,Other,I have read this text carefully,Medical innovation,190,low,low,NA
192,445,TRUE,2022-12-21T16:24:20Z,R_3EMsmHQgSISU0qq,yes,191,2195x1235,5.254,5.254,239.06,1,72,73,6,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,35,Male,4,Other,I have read this text carefully,Medical innovation,191,high,high,NA
193,469,TRUE,2022-12-21T16:25:13Z,R_2vkoF29LkN07i0y,yes,192,1920x1080,17.208,17.208,280.258,1,70,60,5,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,53,Male,0,Other,'I have read this text carefully',Medical innovation,192,high,high,NA
194,261,TRUE,2022-12-21T16:26:43Z,R_2CjsX4N5A0FaFYX,yes,193,1920x1080,10.918,10.918,142.843,1,87,90,6,Agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Agree,33,Female,5,Other,I have read this text carefully,Medical innovation,193,high,high,NA
195,198,TRUE,2022-12-21T16:26:57Z,R_2tEbM2uBXpKBs9k,yes,194,1536x864,6.853,6.853,84.217,1,70,30,5,Strongly disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Disagree,Strongly disagree,42,Male,2,Other,I have read this text carefully,Medical innovation,194,low,low,NA
82,56,FALSE,2022-12-21T16:27:12Z,R_3hszPyOwAmPG5Sg,yes,82,1536x864,5.286,9.233,39.676,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,high,high,NA
196,258,TRUE,2022-12-21T16:27:14Z,R_2ruR3ZtOzfltkAN,yes,195,1366x768,30.252,30.252,60.189,1,30,75,5,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,41,Female,0,Other,I have read this text carefully,Medical innovation,195,high,high,NA
197,168,TRUE,2022-12-21T16:27:18Z,R_3L6AnPlu6q7mYEb,yes,157,390x844,0.247,0.597,1.471,2,10,21,5,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,28,Male,2,Other,I have read this text carefully,Medical innovation,157,low,low,mobile
198,617,TRUE,2022-12-21T16:28:11Z,R_1pWkOrQvSa8XgcQ,yes,196,1368x912,281.548,281.548,359.785,1,24,26,3,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,40,Male,1,Other,I read this text carefully,Medical innovation,196,high,high,NA
199,491,TRUE,2022-12-21T16:28:58Z,R_2CUM5AB7oJAdPfh,yes,197,1280x720,0,0,1.626,0,65,53,4,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,33,Male,0,Other,I have read this text carefully,Medical innovation,197,high,high,NA
200,232,TRUE,2022-12-21T16:29:14Z,R_1M0rKy5c942VmIn,yes,198,1440x900,5.157,5.157,80.232,1,75,89,6,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,50,Male,5,Every day,NA,Medical innovation,198,high,high,NA
201,315,TRUE,2022-12-21T16:29:18Z,R_3Ny9GUmcBpkxAuR,yes,199,2560x1440,9.944,9.944,24.923,1,70,92,6,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,40,Male,1,Other,I have read this text carefully,Medical innovation,199,low,high,NA
202,276,TRUE,2022-12-21T16:29:36Z,R_3CHpiZJ1hEldoLo,yes,200,1920x1080,0.956,26.674,27.309,3,11,7,2,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly agree,25,Male,0,Other,I have read this text carefully,Medical innovation,200,low,low,NA
203,162,TRUE,2022-12-21T16:29:48Z,R_1MXRTsMkdUmyp9C,yes,201,1920x1080,0.57,7.846,86.735,4,35,85,3,Agree,Strongly agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,30,Male,7,Every day,NA,Medical innovation,201,high,low,NA
204,136,TRUE,2022-12-21T16:30:36Z,R_31gXg6xMwl6HxDQ,yes,202,1536x864,9.17,9.17,14.559,1,60,50,5,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Disagree,Agree,26,Female,0,4-6 times a week,NA,Medical innovation,202,high,low,NA
205,224,TRUE,2022-12-21T16:31:19Z,R_3mhK39DUCplQPjb,yes,203,1920x1080,16.546,23.226,94.926,2,76,78,6,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,60,Male,40,2-3 times a week,NA,Medical innovation,203,low,high,NA
206,195,TRUE,2022-12-21T16:31:31Z,R_3fxCoJvCc9Xcb5O,yes,204,1920x1080,0,0,3.702,0,58,67,6,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,40,Male,7,Other,I have read this text carefully,Medical innovation,204,high,high,NA
104,55,FALSE,2022-12-21T16:31:42Z,R_3m2YKAZHSKG0H1a,yes,104,412x915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,low,high,mobile
207,414,TRUE,2022-12-21T16:33:11Z,R_U9AVsIoqovadoQN,yes,205,428x926,13.382,16.049,283.693,2,60,16,5,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,39,Male,5,Other,I have read this text carefully,Medical innovation,205,high,low,mobile
208,186,TRUE,2022-12-21T16:33:21Z,R_306uJto865WrXlX,yes,206,1680x1050,4.692,29.709,30.007,2,41,68,4,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,31,Male,5,Other,I have read this text carefully,Medical innovation,206,high,low,NA
209,136,TRUE,2022-12-21T16:33:27Z,R_XiVsMDisqAwxadX,yes,207,1280x720,13.845,18.212,78.133,4,76,72,5,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly agree,Agree,Agree,Neither agree nor disagree,21,Male,0,2-3 times a week,NA,Medical innovation,207,high,low,NA
210,324,TRUE,2022-12-21T16:33:56Z,R_2tcdVVZGRX9AfRv,yes,208,1536x864,17.27,17.27,184.684,1,83,64,5,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,38,Female,12,Other,I have read this text carefully,Medical innovation,208,high,high,NA
211,447,TRUE,2022-12-21T16:34:16Z,R_1DYDsRBbYhUqWIY,yes,209,393x852,20.094,21.195,50.194,3,64,100,6,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,26,Male,1,Other,I have read this text carefully,Medical innovation,209,low,high,mobile
212,77,TRUE,2022-12-21T16:34:46Z,R_25ShQJ2NKl6apt2,yes,210,2560x1440,4.413,4.413,11.087,1,80,66,5,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,33,Female,2,4-6 times a week,NA,Medical innovation,210,high,high,NA
213,316,TRUE,2022-12-21T16:36:04Z,R_2f2v2YkVFdxWwCz,yes,211,2560x1440,0,0,2.838,0,84,73,5,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,35,Male,8,Other,I have read this text carefully,Medical innovation,211,high,high,NA
214,483,TRUE,2022-12-21T16:36:24Z,R_DCyTbcUM0FlJfHj,yes,212,1366x768,103.693,103.693,353.656,1,45,42,3,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly agree,Disagree,Neither agree nor disagree,41,Female,5,Other,I have read this text carefully,Medical innovation,212,low,low,NA
215,185,TRUE,2022-12-21T16:36:27Z,R_2dTmw7X1P8Ke7KK,yes,213,1440x900,5.738,5.738,25.951,1,30,83,4,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Disagree,Disagree,Disagree,33,Male,8,Other,I have read this text carefully,Medical innovation,213,low,high,NA
216,77,TRUE,2022-12-21T16:36:38Z,R_272OgHzvYMD3A4O,yes,214,360x760,0.196,0.196,0.604,1,45,53,4,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Strongly agree,Agree,Disagree,37,Male,6,Other,I have read this text carefully,Medical innovation,214,low,low,mobile
97,185,FALSE,2022-12-21T16:37:19Z,R_1LZ4Q89dLgRHQcu,yes,97,1920x1080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,high,low,NA
217,91,TRUE,2022-12-21T16:37:54Z,R_A5U2HNOyXcoPSDf,yes,215,414x736,0.26,3.551,8.538,3,89,100,6,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,30,Male,1,4-6 times a week,NA,Medical innovation,215,low,low,mobile
218,656,TRUE,2022-12-21T16:38:02Z,R_ApU29ryFkVjVmKZ,yes,216,360x800,13.415,36.664,353.548,3,50,42,4,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,49,Female,0,Other,I have read this text carefully,Medical innovation,216,high,low,mobile
219,391,TRUE,2022-12-21T16:38:22Z,R_3IuoIxAwxyjxJzH,yes,217,1280x1024,18.266,18.266,212.902,1,20,16,4,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,61,Female,5,Other,I have read this test carefully,Medical innovation,217,low,high,NA
220,367,TRUE,2022-12-21T16:38:24Z,R_3j2lc8MNlaiOcHG,yes,218,1366x768,0.572,78.188,230.361,12,71,36,5,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,34,Male,5,Other,I have read this text carefully,Medical innovation,218,high,high,NA
221,592,TRUE,2022-12-21T16:38:40Z,R_1pXrVXE0safb3KY,yes,219,834x1112,12.807,12.807,396.305,1,31,0,6,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,55,Female,0,Other,I have read this text carefully,Medical innovation,219,low,high,NA
222,686,TRUE,2022-12-21T16:39:10Z,R_3h3dsbCsOcfZeBi,yes,220,1614x908,462.271,462.271,549.62,1,52,100,4,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,53,Male,12,Other,I have read this text carefully,Medical innovation,220,high,low,NA
223,504,TRUE,2022-12-21T16:40:41Z,R_wYtyyEmtoaYJO4F,yes,221,412x915,20.197,280.979,281.637,2,66,90,6,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Agree,29,Male,2,Other,I have read this text carefully,Medical innovation,221,low,high,mobile
224,144,TRUE,2022-12-21T16:40:49Z,R_2Yy6BzNtQIGbutT,yes,222,1366x768,4.677,5.414,68.589,2,100,100,7,Disagree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,46,Female,5,Other,I have read this text carefully,Medical innovation,222,high,high,NA
225,247,TRUE,2022-12-21T16:41:21Z,R_2VKrVgKrrjUCRBc,yes,223,1360x768,8.338,8.338,18.313,1,20,12,6,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,45,Female,2,Other,I have read this text carefully,Medical innovation,223,high,high,NA
226,534,TRUE,2022-12-21T16:41:27Z,R_29K8jCt8XnhT5Sx,yes,224,1368x912,13.503,13.503,46.655,1,80,67,4,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,26,Female,2,Other,I have read this text carefully,Medical innovation,224,low,low,NA
227,404,TRUE,2022-12-21T16:41:36Z,R_2eQE1NWbaRgj2OX,yes,225,1440x2560,0,0,2.026,0,59,46,4,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,31,Male,2,Other,I have read this text carefully,Medical innovation,225,low,high,NA
228,243,TRUE,2022-12-21T16:41:55Z,R_2fm2XKEuJZEaLp0,yes,226,412x915,0,0,35.604,0,67,62,5,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,25,Male,2,Other,I have read this text carefully,Medical innovation,226,high,low,mobile
229,370,TRUE,2022-12-21T16:42:06Z,R_2R3uWYS4aJ3e5D9,yes,227,414x736,5.464,232.007,233.013,3,60,77,5,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,41,Female,5,Other,I have read this text carefully,Medical innovation,227,low,high,mobile
230,191,TRUE,2022-12-21T16:42:13Z,R_2cvkzNPiayNXqsZ,yes,228,412x915,0,0,1.427,0,70,40,6,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,36,Male,5,Other,I have read this text carefully,Medical innovation,228,low,high,mobile
